14, 18, 10, [484.3092464401501, -2589.8953680517907, 2606.4607461477735, 5346.079109352232, -3005.635665386473, -16321.960414876507, -7879.7053165240695, 40346.77961769139, 52727.32232701524, -146040.64160192764, 75733.08390697715], 2, 0.004840165662490672, 2.1580104383520946e-14

14, 18, 10, [484.3092436302529, -2589.8953526551127, 2606.460729650242, 5346.079077449461, -3005.6356440962554, -16321.960312898864, -7879.705274345245, 40346.77935382257, 52727.32200252467, -146040.64064026566, 75733.0833927406], 3, 0.004840236716031544, 2.1585010573878097e-14

14, 18, 10, [484.30924345991986, -2589.895351958158, 2606.4607293988133, 5346.079076084479, -3005.635644770568, -16321.960310700499, -7879.705270295345, 40346.77935333617, 52727.321993312915, -146040.64064107518, 75733.08339960402], 2, 0.0048365476000040205, 2.158655724989573e-14

14, 18, 10, [484.30925524575235, -2589.895415099357, 2606.460793996913, 5346.07920647202, -3005.6357218737617, -16321.960714003759, -7879.705456969312, 40346.78036383082, 52727.323290791515, -146040.64430602101, 75733.08531752374], 6, 0.004844325087379829, 2.1594885695826595e-14

14, 18, 10, [484.3092487013758, -2589.895379724935, 2606.460757127108, 5346.079133321536, -3005.6356764165116, -16321.960484743635, -7879.705355395092, 40346.77978186133, 52727.32255646001, -146040.6421911979, 75733.08420096748], 6, 0.00484481765283837, 2.159600291536517e-14

14, 18, 10, [484.3092536632247, -2589.8954066601827, 2606.4607854499272, 5346.079189055461, -3005.6357118633136, -16321.960660522414, -7879.705431605488, 40346.78023085251, 52727.323118291635, -146040.643824361, 75733.08506685987], 9, 0.004845202293988857, 2.1594869681276137e-14

14, 18, 10, [484.30925112168336, -2589.895393145322, 2606.460771838043, 5346.079161183705, -3005.6356960654557, -16321.960575248897, -7879.705390748034, 40346.78001948605, 52727.32284298812, -146040.6430588535, 75733.08466913068], 4, 0.004844692080896645, 2.159389034269226e-14

14, 18, 10, [484.309250264957, -2589.895388140544, 2606.4607658209698, 5346.079150712613, -3005.6356869725673, -16321.960538906787, -7879.705379904061, 40346.779918501685, 52727.32273031045, -146040.6426872813, 75733.08446179183], 5, 0.004844098489961407, 2.1587472978600482e-14

14, 18, 10, [484.30923826835243, -2589.895323918558, 2606.460700228941, 5346.079018102961, -3005.6356089371334, -16321.960129242361, -7879.705189462481, 40346.77889346167, 52727.3214117593, -146040.6389705413, 75733.08251873325], 9, 0.004844543866819794, 2.1591200719663586e-14

14, 18, 10, [484.30925330235897, -2589.8954045268238, 2606.460782831019, 5346.079184587974, -3005.635707798658, -16321.960644769766, -7879.7054272680925, 40346.78018646284, 52727.32306972532, -146040.64366059555, 75733.08497466604], 3, 0.004838953042158697, 2.157946033527748e-14

