14, 18, 9, [-11.934766879292937, 55.15694012310581, -97.1472253260341, -134.76576932150658, 1077.854619695196, -2578.814291002676, 3444.7481040547987, -2743.1193239887743, 1223.5340653999472, -236.5638635720462], 20, 1.1284431142914412e-05, 5.90829297541103e-17

14, 18, 9, [-11.934768325838583, 55.156962605887024, -97.14738001517073, -134.76515090617204, 1077.8530365145532, -2578.811599294755, 3444.745064588725, -2743.117125773505, 1223.5331413914607, -236.563691566286], 2, 1.1265053424269106e-05, 5.912667114618648e-17

14, 18, 9, [-11.934767702731508, 55.15695320913079, -97.14731727819189, -134.76539430170942, 1077.8536412392507, -2578.812597153187, 3444.7461581981597, -2743.117893416026, 1223.5334545587793, -236.56374814184755], 2, 1.1262658827837717e-05, 5.924739700633548e-17

14, 18, 9, [-11.934769679246719, 55.15698344411761, -97.14752218735006, -134.7645867660418, 1077.851601772636, -2578.8091739788197, 3444.742339561578, -2743.115163368235, 1223.532319475408, -236.5635390231348], 12, 1.1283966637013341e-05, 5.908265044927638e-17

14, 18, 9, [-11.93476939318104, 55.156979357088915, -97.14749640806251, -134.76468095472424, 1077.8518213497418, -2578.8095124864913, 3444.742684389124, -2743.1153869542054, 1223.5324030937077, -236.56355274026498], 25, 1.1277984234298806e-05, 5.906484631667928e-17

14, 18, 9, [-11.934769132993706, 55.15697513899902, -97.14746613594957, -134.76480718207137, 1077.852158356743, -2578.810109922667, 3444.7433876448235, -2743.115917002109, 1223.53263521092, -236.5635977390588], 3, 1.127534426119064e-05, 5.91006897083248e-17

14, 18, 9, [-11.934770856888242, 55.15700175395569, -97.14764825257485, -134.7640822710013, 1077.8503085244113, -2578.8069716507093, 3444.7398479687486, -2743.113357464683, 1223.531558518165, -236.56339698671144], 2, 1.123799733986798e-05, 5.900679747327924e-17

14, 18, 9, [-11.934769923455603, 55.15698747634051, -97.14755158578434, -134.76446249039412, 1077.851265970424, -2578.8085723317818, 3444.7416246195166, -2743.114619905641, 1223.5320796363853, -236.56349219680277], 8, 1.128227980627991e-05, 5.90959894425542e-17

14, 18, 9, [-11.934768979060024, 55.156972677240795, -97.14744879737611, -134.76487780452402, 1077.8523417582396, -2578.810424938732, 3444.7437456226594, -2743.116176590881, 1223.5327442337134, -236.5636179474608], 20, 1.1281643753022808e-05, 5.908562706218824e-17

14, 18, 9, [-11.934769080650925, 55.15697443641181, -97.14746210111092, -134.76481997839682, 1077.8521822356158, -2578.810134856376, 3444.7433974960095, -2743.115910463364, 1223.5326265490191, -236.56359499597102], 5, 1.1276040350275072e-05, 5.912972928372539e-17

