14, 18, 7, [36.404492299113905, -494.935893830896, 2566.453885378868, -7203.318048050064, 12007.720533816922, -11947.900641647011, 6584.162368900052, -1551.7395462348584], 9, 0.0006388260716698953, 2.8842471930813278e-15

14, 18, 7, [36.40449319790113, -494.93590458969294, 2566.4539405309633, -7203.318204992265, 12007.720801551535, -11947.900915451488, 6584.162524320708, -1551.7395840086076], 3, 0.0006390987587535702, 2.8784151516241396e-15

14, 18, 7, [36.40449241360022, -494.9358952284934, 2566.453892672519, -7203.31806914277, 12007.720570322204, -11947.900679456872, 6584.162390599493, -1551.7395515580838], 3, 0.000638124256578586, 2.8883863059666886e-15

14, 18, 7, [36.404493460306675, -494.9359073062072, 2566.453952319943, -7203.31823258293, 12007.720838682993, -11947.900943504503, 6584.162534756173, -1551.7395852466595], 3, 0.0006393170497782011, 2.879192835216709e-15

14, 18, 7, [36.404492411730565, -494.93589517779213, 2566.45389225548, -7203.318067479132, 12007.720566627038, -11947.900674764158, 6584.162387399908, -1551.739550646984], 3, 0.0006366717970348132, 2.8801854875146306e-15

14, 18, 7, [36.40449134848538, -494.9358824585533, 2566.4538272179825, -7203.317883205508, 12007.720254163565, -11947.900357670642, 6584.162209072456, -1551.739507772274], 5, 0.0006382345124695769, 2.8833160647953746e-15

14, 18, 7, [36.40449227186709, -494.9358934449163, 2566.4538831057343, -7203.3180407805385, 12007.720520115246, -11947.900626374823, 6584.162359556204, -1551.7395438097326], 5, 0.0006380839659527443, 2.8819906670878016e-15

14, 18, 7, [36.4044949004607, -494.93592417106055, 2566.4540368417815, -7203.318467584473, 12007.721230163574, -11947.901334243053, 6584.162751114741, -1551.7396365173017], 3, 0.0006356275771186305, 2.8757980464807707e-15

14, 18, 7, [36.40449119673397, -494.9358809205937, 2566.4538206519583, -7203.317867962467, 12007.720233513472, -11947.900341510835, 6584.162202429041, -1551.7395067053003], 4, 0.0006373841252819044, 2.879695257650231e-15

14, 18, 7, [36.40449115567363, -494.93588006240526, 2566.4538144605995, -7203.317845490555, 12007.720187309513, -11947.900286624352, 6584.162167166919, -1551.739497190517], 11, 0.0006387843120954826, 2.8848763138251695e-15

