14, 18, 15, [-13.678279277841607, 78.23950168758277, -232.67608283888265, 340.4247942037155, -77.89409597673294, -411.93205817961973, 238.87734603408012, 559.3044380517334, -328.27139921355786, -832.8646097111503, 398.90145572601233, 1172.0040568916377, -728.8919876367615, -1026.0729529676596, 1238.9733713553248, -375.5753070112609], 7, 5.987749293723271e-07, 3.2542710260416613e-18

14, 18, 15, [-13.678277205222082, 78.23947122337884, -232.67589784066067, 340.4242227045319, -77.89328694045395, -411.93196950486174, 238.8757295264734, 559.3049435994243, -328.26835474421154, -832.8659730262615, 398.89546613191663, 1172.0080858733795, -728.8808807733936, -1026.0927133559005, 1238.9858484080858, -375.57822350173893], 5, 6.067931080763424e-07, 3.267454956661874e-18

14, 18, 15, [-13.678276896269985, 78.23946645915463, -232.675867331153, 340.4241223538162, -77.89313085228427, -411.9319761374553, 238.87542243960374, 559.3050957738759, -328.2677650457507, -832.866358777613, 398.8942641671458, 1172.0091349879312, -728.8786154111161, -1026.0972581475514, 1238.9889115642363, -375.57897884687844], 5, 6.07011463394926e-07, 3.2717830815666156e-18

14, 18, 15, [-13.678278250057943, 78.23948642021207, -232.67598907201503, 340.424500762521, -77.89367254237351, -411.9320244740067, 238.87650212978895, 559.3047305713276, -328.269803380282, -832.8653832268136, 398.8982954601821, 1172.0062934360467, -728.8861110301933, -1026.083633613368, 1238.9801949774362, -375.5769173811781], 2, 6.066676518367695e-07, 3.282967420824001e-18

14, 18, 15, [-13.678277938184578, 78.23948228733997, -232.67596688921844, 340.4244425244901, -77.89361165715049, -411.9319840892467, 238.87637494179117, 559.304695142254, -328.2695810550371, -832.8653292155628, 398.8979120367478, 1172.0062649517236, -728.885441893383, -1026.0842455053432, 1238.9803789367897, -375.5769216979666], 6, 5.96715795968996e-07, 3.253915268309728e-18

14, 18, 15, [-13.678279304096687, 78.23950117482137, -232.676073877572, 340.4247456929747, -77.8939831916432, -411.9321155139659, 238.87713248584058, 559.3046616063449, -328.2709617111689, -832.8651285555264, 398.900481741546, 1172.0053194384275, -728.890091892042, -1026.077562458149, 1238.9767186328584, -375.5761735016833], 6, 5.949792201677892e-07, 3.2528388318802014e-18

14, 18, 15, [-13.678278399383997, 78.2394887107126, -232.67600359876857, 340.42454782080785, -77.89374375373228, -411.93202503346055, 238.87664315858257, 559.304670163687, -328.27007257229013, -832.8652289399411, 398.8988367212462, 1172.005865262984, -728.8871239763957, -1026.0816990712858, 1238.978925558312, -375.57661117506353], 7, 5.934718505097861e-07, 3.247197330702047e-18

14, 18, 15, [-13.678277973646068, 78.23948260250395, -232.6759673479013, 340.4244383382278, -77.89359292957506, -411.9320035332007, 238.87634171972277, 559.3047560379039, -328.26950799940835, -832.8654704877588, 398.89773066905497, 1172.0065994607091, -728.8850731647203, -1026.0853508665236, 1238.9812432660196, -375.57715705508423], 5, 6.058622651939429e-07, 3.265618542933186e-18

14, 18, 15, [-13.678278354686357, 78.23948777019089, -232.67599599538494, 340.42451742546274, -77.89368573145344, -411.932042847353, 238.87653151856924, 559.304760261384, -328.2698501862531, -832.8654438420525, 398.8983588603834, 1172.006406506792, -728.8862049337984, -1026.083787249281, 1238.9804065063222, -375.5769889847718], 6, 6.062720452993313e-07, 3.2692750809013585e-18

14, 18, 15, [-13.67827819275817, 78.2394855993298, -232.675984194401, 340.42448592972016, -77.89365164912351, -411.9320226411516, 238.87646080445504, 559.3047456508115, -328.26972564965786, -832.8654250694734, 398.89814045343644, 1172.0064159733845, -728.8858204127894, -1026.084198131071, 1238.9805729325783, -375.5770106538356], 6, 6.055247233863653e-07, 3.2654700941372074e-18

