13, 18, 11, [14824.838939164983, -59276.38415499209, 29556.2503446775, 96914.59991567623, 22522.14487801446, -156449.7788838991, -222611.40096220118, 63638.31013330289, 560467.1342008231, 346703.75846130424, -1396323.8012684467, 704037.8838218616], 4, 0.001716382276615001, 6.2725501602293824e-12

13, 18, 11, [14824.838953923274, -59276.38421489722, 29556.250376012533, 96914.60001448629, 22522.144898148403, -156449.77904781819, -222611.401189622, 63638.310208196315, 560467.1347891227, 346703.7588112807, -1396323.8027463863, 704037.884577631], 2, 0.0017162653828181008, 6.282632892747758e-12

13, 18, 11, [14824.838940949918, -59276.38416231696, 29556.250348634643, 96914.59992783396, 22522.14488025437, -156449.77890443834, -222611.40099022558, 63638.31014334738, 560467.134274615, 346703.75850409357, -1396323.8014547778, 704037.8839179594], 2, 0.0017161000416867802, 6.284083279466298e-12

13, 18, 11, [14824.838946019869, -59276.384182736154, 29556.250359058184, 96914.59996136272, 22522.144887580238, -156449.77895929068, -222611.4010673181, 63638.31016700669, 560467.1344712886, 346703.75862347335, -1396323.8019467583, 704037.884167743], 20, 0.0017165133742467558, 6.275947797907616e-12

13, 18, 11, [14824.838941181692, -59276.38416313237, 29556.250348860536, 96914.59992906022, 22522.144880888103, -156449.7789058743, -222611.40099298646, 63638.31014291788, 560467.1342796262, 346703.7585089135, -1396323.8014657483, 704037.8839221859], 14, 0.001716648687906887, 6.271610070000291e-12

13, 18, 11, [14824.838934475869, -59276.38413600872, 29556.2503348284, 96914.59988441167, 22522.144871488686, -156449.7788322752, -222611.4008902669, 63638.31011015755, 560467.1340156072, 346703.7583503717, -1396323.8008038083, 704037.8835848267], 9, 0.0017165849275906262, 6.272234786124348e-12

13, 18, 11, [14824.838951482816, -59276.384204742986, 29556.250370298923, 96914.59999750317, 22522.144895465557, -156449.77901843312, -222611.40115041917, 63638.310192543344, 560467.1346833435, 346703.7587521467, -1396323.802477241, 704037.8844371008], 4, 0.0017160760840924285, 6.274518867816355e-12

13, 18, 11, [14824.838941116013, -59276.384162665396, 29556.250348286627, 96914.59992810173, 22522.144881338674, -156449.77890327945, -222611.40099069598, 63638.310139853274, 560467.1342700194, 346703.7585064226, -1396323.8014386513, 704037.8839058158], 9, 0.0017165603230048618, 6.271916860505653e-12

13, 18, 11, [14824.838948417855, -59276.38419214293, 29556.25036344576, 96914.59997657072, 22522.144891715205, -156449.77898290672, -222611.40110217544, 63638.31017480993, 560467.134555603, 346703.7586787346, -1396323.8021539482, 704037.8842697598], 3, 0.0017159523343291308, 6.2741535907772285e-12

