14, 18, 8, [-8.757552507835797, -0.2714064484077062, 314.4929963396197, -1841.5452569205697, 5399.724647834132, -9384.680458440649, 9828.187417128032, -5761.397526918198, 1458.4787684570401], 4, 9.330632081772469e-05, 4.287568966410931e-16

14, 18, 8, [-8.75755247696164, -0.2714072537760161, 314.4930042579002, -1841.5452980555115, 5399.7247749967655, -9384.680701593938, 9828.187700433928, -5761.397711831108, 1458.4788204150243], 13, 9.339686973317762e-05, 4.2852290986223656e-16

14, 18, 8, [-8.757553054807339, -0.2713976413482611, 314.49293447894723, -1841.5450093462618, 5399.724030344198, -9384.679475566336, 9828.186442087213, -5761.396975728047, 1458.4786325107307], 14, 9.338224815938883e-05, 4.2853721719571576e-16

14, 18, 8, [-8.757552907148286, -0.2714000927171388, 314.4929522180877, -1841.5450824292618, 5399.724217833176, -9384.679782260999, 9828.186754480887, -5761.397156878571, 1458.4786782962778], 2, 9.323050234506313e-05, 4.2938540811464236e-16

14, 18, 8, [-8.757551651900954, -0.27142070451943284, 314.493100014604, -1841.5456868747015, 5399.725759928697, -9384.682295447226, 9828.189309505153, -5761.398638379345, 1458.4790534066299], 6, 9.340332149636923e-05, 4.2874233372150163e-16

14, 18, 8, [-8.757553347450612, -0.2713930526398122, 314.4929032082915, -1841.5448884369182, 5399.723740387127, -9384.679034239442, 9828.186026110987, -5761.39675397576, 1458.4785813940491], 5, 9.328171224207564e-05, 4.284829848927843e-16

14, 18, 8, [-8.757551809559349, -0.27141801161349044, 314.49307996056785, -1841.545601833633, 5399.725535329245, -9384.681917149084, 9828.188912677162, -5761.398401352852, 1458.4789916844404], 9, 9.331790996736695e-05, 4.2848190511903094e-16

14, 18, 8, [-8.757552089063461, -0.27141335256947813, 314.49304605132244, -1841.5454610926802, 5399.725170987682, -9384.681314768084, 9828.188291525075, -5761.398036127068, 1458.4788979348787], 5, 9.322541907602722e-05, 4.285511674247731e-16

14, 18, 8, [-8.757552885818631, -0.2714005255475998, 314.4929560135515, -1841.5451011708312, 5399.72427480243, -9384.679891464268, 9828.18688349272, -5761.397242839889, 1458.4787030520843], 5, 9.32930858283415e-05, 4.283255544138499e-16

14, 18, 8, [-8.757552121007548, -0.2714131071313174, 314.4930463050048, -1841.545470381535, 5399.72521569563, -9384.681421672625, 9828.188434495753, -5761.39813865384, 1458.4789287840993], 7, 9.33221120714111e-05, 4.283802423344171e-16

