14, 18, 13, [-18.835207705669102, 167.23257762172042, -929.9064558939695, 3627.4547877023965, -10530.34055433998, 23522.21437878563, -41159.80423722255, 56758.65678396073, -61364.44828739388, 51107.05478110008, -31691.042419348632, 13772.366781411614, -3737.111996567046, 475.51144313650576], 10, 9.534468208557684e-05, 2.785601159173862e-16

14, 18, 13, [-18.83520770423037, 167.23257756389452, -929.9064548754878, 3627.454777264251, -10530.340484671062, 23522.214057911522, -41159.80318449373, 56758.65428485347, -61364.443981715194, 51107.04944927271, -31691.037795312965, 13772.364115974682, -3737.1110794528995, 475.51130062916803], 11, 0.00017196705821131487, 3.6370540168720233e-16

14, 18, 13, [-18.83520770443142, 167.23257757288332, -929.9064550448687, 3627.454779076533, -10530.340497093797, 23522.214116035335, -41159.803376857184, 56758.654743558975, -61364.44477379471, 51107.05043158144, -31691.038648703234, 13772.364609213577, -3737.1112498526086, 475.5113272569427], 11, 9.302303172382045e-05, 2.759405329425012e-16

14, 18, 13, [-18.835207703395856, 167.23257753502105, -929.9064544359109, 3627.4547733499053, -10530.340461848331, 23522.213965667313, -41159.802918077956, 56758.65372732921, -61364.443135468035, 51107.04852857254, -31691.03709735904, 13772.363767061088, -3737.110976502782, 475.51128712497854], 11, 0.00022220165311182178, 4.2123107156942625e-16

14, 18, 13, [-18.835207704453833, 167.23257757364544, -929.9064550581322, 3627.4547792312906, -10530.34049835943, 23522.21412328286, -41159.803405992985, 56758.65482625703, -61364.44493980987, 51107.050665480914, -31691.038874708694, 13772.364751759176, -3737.1113026912376, 475.5113359848759], 11, 0.00014636040898269117, 3.3473537494208626e-16

14, 18, 13, [-18.835207706915394, 167.23257767187175, -929.9064567860426, 3627.4547969932614, -10530.340617643555, 23522.214677290012, -41159.805241441834, 56758.65922957961, -61364.45260840624, 51107.060263473584, -31691.047284736298, 13772.369647138914, -3737.11300253683, 475.511602361107], 11, 9.038601461242166e-05, 2.7223023449947806e-16

14, 18, 13, [-18.83520770574168, 167.23257762715434, -929.9064560335307, 3627.4547895717005, -10530.340569650345, 23522.214461799445, -41159.80454849806, 56758.65760994042, -61364.44985077876, 51107.056878769356, -31691.044368432016, 13772.367973986791, -3737.1124287528987, 475.51151340535074], 10, 0.00010648700930022759, 2.917931920451698e-16

14, 18, 13, [-18.835207704362656, 167.23257757221444, -929.9064550674676, 3627.4547796264105, -10530.340502654473, 23522.2141493373, -41159.80350831584, 56758.65510188229, -61364.44546089245, 51107.051357803306, -31691.039508796017, 13772.365133337991, -3737.1114385789906, 475.5113576955681], 11, 0.00012484653538043342, 3.100104110630484e-16

14, 18, 13, [-18.83520770478218, 167.2325775879729, -929.9064553311015, 3627.4547822361756, -10530.340519750924, 23522.214227703033, -41159.803767061356, 56758.65572522729, -61364.44655713548, 51107.052748729766, -31691.040747487346, 13772.365867286475, -3737.1116982090816, 475.5113991560202], 12, 0.00015275373050923036, 3.478159129253122e-16

14, 18, 13, [-18.835207703588615, 167.23257754101792, -929.9064545162189, 3627.454773971894, -10530.340465002888, 23522.21397689988, -41159.80294739714, 56758.65378484679, -61364.44322096841, 51107.04862392416, -31691.037174693425, 13772.36381000673, -3737.1109910435453, 475.51128937936426], 11, 9.615674614598722e-05, 2.7770315280323185e-16

