14, 18, 11, [-16.27494681846758, 115.65004146129121, -459.4486399308403, 1062.9106303265728, -1230.245787552253, -142.07340170943473, 2376.98166021957, -2327.4535034397572, -1093.9764737013804, 3923.325818825745, -3050.635171908318, 841.9244405637163], 9, 2.2706986203348544e-06, 1.1423225976051304e-17

14, 18, 11, [-16.274948214603768, 115.65006843812215, -459.44886659468494, 1062.9116983705746, -1230.2487653940218, -142.06901647325222, 2376.9813869370405, -2327.465985567706, -1093.9505131654319, 3923.299216513884, -3050.6207294857886, 841.921116033351], 15, 2.2524050761674885e-06, 1.1370780162439554e-17

14, 18, 11, [-16.274945825363712, 115.65002292773558, -459.4484898691765, 1062.9099510138717, -1230.2439782874994, -142.07589785576747, 2376.9815341468516, -2327.446144353969, -1093.990784804303, 3923.3397873806393, -3050.6424287176537, 841.9260421812656], 15, 2.23400058010119e-06, 1.1356489196375913e-17

14, 18, 11, [-16.27494603136121, 115.6500267440475, -459.44852056733595, 1062.9100891445028, -1230.2443439708986, -142.07539729091138, 2376.9815659670558, -2327.4476262902704, -1093.9879238024062, 3923.337009903292, -3050.6409931438175, 841.9257269819234], 13, 2.2410408124036896e-06, 1.1382609974706708e-17

14, 18, 11, [-16.274944983675493, 115.65000639154333, -459.44834876012266, 1062.9092762955418, -1230.242069562923, -142.07875879832437, 2376.981790945224, -2327.4380723205054, -1094.0078319539327, 3923.3574206243825, -3050.652071640086, 841.9282750829641], 13, 2.2422746734032165e-06, 1.1385085650541536e-17

14, 18, 11, [-16.27494538342764, 115.65001434346514, -459.44841726897323, 1062.9096062232725, -1230.2430077350978, -142.07734716342114, 2376.98165980565, -2327.4420504186623, -1093.999429656535, 3923.3487408563715, -3050.6473352329285, 841.9271813598243], 14, 2.2383572305444483e-06, 1.1370391356100577e-17

14, 18, 11, [-16.274946178216936, 115.650029590804, -459.44854453571696, 1062.9102022402462, -1230.2446596905722, -142.07493134994897, 2376.981534431544, -2327.4489497840027, -1093.9851584985029, 3923.3341621111695, -3050.63943733473, 841.9253660164132], 15, 2.2235847624035737e-06, 1.1351956598018718e-17

14, 18, 11, [-16.274946508277413, 115.65003559391297, -459.4485918035983, 1062.9104096476508, -1230.2451917966882, -142.07423870989132, 2376.9816432737166, -2327.451059107803, -1093.9813085146484, 3923.33059531756, -3050.637680430253, 841.9250000014084], 15, 2.2494671734689764e-06, 1.1391493047294684e-17

14, 18, 11, [-16.274946176538844, 115.65002977994173, -459.44854793178, 1062.9102266192128, -1230.2447517634293, -142.07475073524608, 2376.9814512339804, -2327.4493987138426, -1093.9839826452965, 3923.3327983707536, -3050.638627253899, 841.9251658300533], 15, 2.249757171583905e-06, 1.136699303801335e-17

14, 18, 11, [-16.274946801966433, 115.6500412846834, -459.44863969820045, 1062.9106354083617, -1230.2458204493737, -142.0733167811476, 2376.981595308991, -2327.4536918912236, -1093.975877392696, 3923.325072009372, -3050.6347067647553, 841.9243218582596], 7, 2.271130476586696e-06, 1.1413828264750404e-17

