14, 18, 12, [8.813246532276992, -137.19044559025582, 568.9828410713503, -945.8944316528014, 122.56914493418671, 1475.9432285391952, -693.5678610891188, -2389.3481146703243, 1806.3114588368794, 3666.297038363114, -6643.7135892780925, 4073.966744058099, -914.2189876210664], 9, 2.5102303000347626e-05, 1.189003001643204e-16

14, 18, 12, [8.81324537035076, -137.1904342866529, 568.9827985327694, -945.894363215534, 122.56913645504144, 1475.943121739076, -693.5678097152871, -2389.347941279447, 1806.3113238137328, 3666.2967713278827, -6643.713095906259, 4073.966437704545, -914.218918102334], 9, 2.501040325479498e-05, 1.1874817065136074e-16

14, 18, 12, [8.813251495412775, -137.19049438011854, 568.9830269694465, -945.8947361071181, 122.56919052951035, 1475.9437031357902, -693.5681065955923, -2389.348888958154, 1806.3120949015013, 3666.29823482058, -6643.715867322863, 4073.968182888188, -914.219318971159], 10, 2.417114174625663e-05, 1.1750784122735723e-16

14, 18, 12, [8.81325225061373, -137.19050169331558, 568.983054371719, -945.8947799782343, 122.56919572495805, 1475.9437715850152, -693.568139095244, -2389.3489999646636, 1806.3121806826664, 3666.2984056883065, -6643.716181911442, 4073.968377921364, -914.2193631790486], 9, 2.4814239348642106e-05, 1.1846561267746972e-16

14, 18, 12, [8.813252185058927, -137.19050079997072, 568.9830498450671, -945.8947699281827, 122.56919037621773, 1475.9437562080961, -693.5681226434557, -2389.348973065049, 1806.312142121304, 3666.2983621916464, -6643.716065228891, 4073.9682921807193, -914.2193410341572], 12, 2.3187312657342507e-05, 1.1592844706425878e-16

14, 18, 12, [8.81324724229418, -137.19045232779757, 568.9828657354453, -945.8944698770507, 122.56914775113489, 1475.9432882060933, -693.5678859108579, -2389.3482105537805, 1806.311526643473, 3666.2971850893086, -6643.713847520036, 4073.9669002934834, -914.2190223402923], 11, 2.333548477557399e-05, 1.1593146432590292e-16

14, 18, 12, [8.813250436239326, -137.19048385052446, 568.9829863189468, -945.8946682795989, 122.56917853422551, 1475.9435975516399, -693.5680478930037, -2389.348715845626, 1806.3119447230067, 3666.297966404849, -6643.715339742914, 4073.9678437268553, -914.2192396698774], 11, 2.419959121614132e-05, 1.175460312139222e-16

14, 18, 12, [8.813249867013198, -137.19047828676977, 568.9829652577098, -945.8946340968838, 122.56917385392522, 1475.9435442371007, -693.5680212677277, -2389.3486290697133, 1806.3118752672488, 3666.2978325253443, -6643.715088588362, 4073.9676864343614, -914.2192037165777], 12, 2.3505278281320696e-05, 1.1610447422809998e-16

14, 18, 12, [8.813248474811799, -137.19046475822498, 568.9829143400013, -945.8945520074244, 122.56916324505801, 1475.943416246638, -693.5679584821423, -2389.3484211017294, 1806.31171051446, 3666.29751196308, -6643.714489810578, 4073.967311949949, -914.2191181505577], 11, 2.4273334518015437e-05, 1.1764089390937772e-16

14, 18, 12, [8.813250475919633, -137.1904840729995, 568.982986458019, -945.8946669469859, 122.56917618715637, 1475.9435955744177, -693.5680423056168, -2389.348711576976, 1806.3119327025504, 3666.297958761569, -6643.715308252572, 4073.9678180537926, -914.219232641861], 14, 2.3747772699016792e-05, 1.1638548786961735e-16

