14, 18, 7, [732.3936064593679, -8504.96264345607, 42047.46156187215, -115237.1381856781, 189248.73245789713, -186287.10137063134, 101781.0947945678, -23812.453675957313], 6, 0.05357808565138754, 3.4952302389438845e-12

14, 18, 7, [732.3936065200186, -8504.962644060874, 42047.46156439339, -115237.13819131821, 189248.73246508362, -186287.1013756652, 101781.09479620351, -23812.453676078872], 11, 0.0536034795988173, 3.495588434410875e-12

14, 18, 7, [732.3936057139468, -8504.962634674985, 42047.46151759902, -115237.13806183034, 189248.73225029962, -186287.10116211107, 101781.09467835637, -23812.45364823508], 5, 0.05361655643252406, 3.495336679033885e-12

14, 18, 7, [732.3936077563262, -8504.96265854948, 42047.461637071465, -115237.13839360382, 189248.73280247868, -186287.10171289684, 101781.09498323462, -23812.45372048006], 3, 0.053578629798609376, 3.495386522069126e-12

14, 18, 7, [732.3936074207426, -8504.962654555431, 42047.46161672743, -115237.13833611681, 189248.73270515236, -186287.10161417443, 101781.09492768251, -23812.453707102413], 2, 0.05361085334625136, 3.49366870744476e-12

14, 18, 7, [732.3936073089898, -8504.962653408147, 42047.46161177337, -115237.13832451598, 189248.73268937817, -186287.10160190292, 101781.09492276977, -23812.453706374425], 4, 0.05356375572862424, 3.492381336128406e-12

14, 18, 7, [732.3936075496379, -8504.962656148426, 42047.46162514055, -115237.13836073158, 189248.7327482436, -186287.10165931558, 101781.09495388596, -23812.453713604795], 3, 0.0535455433078908, 3.492147246007113e-12

14, 18, 7, [732.393608182647, -8504.962663672814, 42047.461663407455, -115237.13846866923, 189248.73293061135, -186287.10184388224, 101781.0950574885, -23812.453738487762], 8, 0.053589034328086295, 3.4944132930494684e-12

14, 18, 7, [732.3936067206783, -8504.962646319851, 42047.46157524099, -115237.13822011102, 189248.73251068997, -186287.1014187536, 101781.0948186749, -23812.453681065752], 5, 0.053600322400116876, 3.493286068785671e-12

14, 18, 7, [732.3936056156707, -8504.962633540585, 42047.46151200856, -115237.1380465821, 189248.73222543718, -186287.10113787532, 101781.0946652775, -23812.453645220645], 10, 0.05361059567273113, 3.4952684755632056e-12

