14, 18, 10, [528.0851156600237, -4696.027500726893, 15932.394651862554, -22309.48497593445, -1809.9249557411488, 39171.17359546199, -18956.715564022, -61452.484851117646, 101442.39625196227, -62049.47395941921, 14200.672533968625], 20, 3.0052104547906634e-05, 1.4893382706320076e-13

14, 18, 10, [528.0851162932146, -4696.027506258555, 15932.39467033793, -22309.48500117714, -1809.9249587130018, 39171.17363978534, -18956.71558346239, -61452.4849205921, 101442.39636196718, -62049.47402469403, 14200.672548468036], 2, 3.0009101437973716e-05, 1.4927783516891487e-13

14, 18, 10, [528.0851131423125, -4696.027477779834, 15932.394571361327, -22309.484857834992, -1809.9249531810203, 39171.17338784709, -18956.715449756233, -61452.48452472395, 101442.39568397049, -62049.473600736725, 14200.672449631837], 3, 3.0025629614388666e-05, 1.4911379955461053e-13

14, 18, 10, [528.0851154413904, -4696.027498321666, 15932.394641825964, -22309.48495801608, -1809.9249595131937, 39171.17356387611, -18956.71553812996, -61452.48480111362, 101442.39614619991, -62049.47388539402, 14200.672515092547], 5, 3.0054028939906387e-05, 1.4904244091807145e-13

14, 18, 10, [528.0851141645417, -4696.027487119587, 15932.39460418957, -22309.484906067464, -1809.9249541977829, 39171.1734726566, -18956.715496380366, -61452.48465807594, 101442.39591566903, -62049.47374679018, 14200.672483896915], 2, 2.9992120837255817e-05, 1.4920628719128814e-13

14, 18, 10, [528.0851149218547, -4696.027493786131, 15932.394626681247, -22309.484937315137, -1809.9249571041046, 39171.17352752852, -18956.71552210833, -61452.4847441379, 101442.3960557745, -62049.47383163504, 14200.672503127582], 6, 3.005580203868712e-05, 1.49023135246812e-13

14, 18, 10, [528.0851158338409, -4696.0275019649, 15932.394654872973, -22309.484977709744, -1809.9249591914672, 39171.17359850246, -18956.71555877084, -61452.48485559992, 101442.39624463161, -62049.473949015795, 14200.672530362677], 3, 3.003739656400538e-05, 1.4920568361185183e-13

14, 18, 10, [528.0851157284717, -4696.02750101652, 15932.394651593408, -22309.4849729945, -1809.9249589640585, 39171.173590216764, -18956.715554465125, -61452.48484258625, 101442.39622253765, -62049.47393527069, 14200.672527171264], 4, 3.004088668965301e-05, 1.4908983503847683e-13

14, 18, 10, [528.0851155590722, -4696.027499462026, 15932.394646082237, -22309.484964757754, -1809.9249590256984, 39171.173575743705, -18956.71554593443, -61452.484819826, 101442.39618152272, -62049.47390874495, 14200.672520791884], 9, 3.006288079232232e-05, 1.4904250153531996e-13

14, 18, 10, [528.0851161703147, -4696.027504932675, 15932.394664895515, -22309.48499162402, -1809.9249605375824, 39171.173622947514, -18956.715570058335, -61452.48489395084, 101442.39630652269, -62049.473986187244, 14200.672538705803], 4, 3.0044252019513618e-05, 1.4899792717630306e-13

14, 18, 10, [528.0851160083918, -4696.027503649712, 15932.39466112813, -22309.48498753393, -1809.9249586093208, 39171.173615802756, -18956.715569835113, -61452.48488287903, 101442.39629531871, -62049.47398217363, 14200.67253837521], 3, 3.003311334448987e-05, 1.4908776816733456e-13

14, 18, 10, [528.0851140320157, -4696.027485575683, 15932.394597515942, -22309.484893859506, -1809.9249569705091, 39171.173451102746, -18956.715478497386, -61452.484623905, 101442.39584335504, -62049.47369636998, 14200.672471113872], 15, 3.0066434700926432e-05, 1.4896155525477244e-13

14, 18, 10, [528.0851173729259, -4696.027516014696, 15932.394704237058, -22309.485050255407, -1809.9249606334758, 39171.17372605026, -18956.715629173952, -61452.4850561465, 101442.3965939194, -62049.47416961806, 14200.672582221416], 5, 3.0061216122254606e-05, 1.4908057320410346e-13

14, 18, 10, [528.0851170373711, -4696.027513015587, 15932.394693927308, -22309.485035515594, -1809.9249598556053, 39171.17370015869, -18956.71561578793, -61452.48501549165, 101442.39652491939, -62049.47412664358, 14200.672572224621], 20, 3.004601501351481e-05, 1.489337015676031e-13

14, 18, 10, [528.0851175875193, -4696.027518053025, 15932.394711682715, -22309.48506171456, -1809.9249602475047, 39171.17374622606, -18956.71564146477, -61452.485087937835, 101442.3966516135, -62049.474206844236, 14200.672591112556], 7, 3.0060156426294752e-05, 1.4900268640580093e-13

14, 18, 10, [528.085112727084, -4696.027473850322, 15932.394557019816, -22309.484835697163, -1809.924954114317, 39171.173348894656, -18956.715425459075, -61452.48446336129, 101442.39557096154, -62049.4735270077, 14200.672431823174], 20, 3.0050223892518314e-05, 1.4892276029595205e-13

14, 18, 10, [528.085114800247, -4696.0274929194275, 15932.394624573551, -22309.484936075896, -1809.924954680334, 39171.17352540667, -18956.715525809133, -61452.48474101241, 101442.39606097693, -62049.47383898077, 14200.672505669827], 2, 2.9994470771348937e-05, 1.491888425112102e-13

14, 18, 10, [528.0851143516273, -4696.0274888589865, 15932.394610461055, -22309.48491568595, -1809.9249537666706, 39171.17348955156, -18956.715507153163, -61452.48468465947, 101442.39596554695, -62049.47377987115, 14200.672492032361], 6, 3.003018835355551e-05, 1.4895118725288236e-13

14, 18, 10, [528.0851117351339, -4696.027464702833, 15932.394524505857, -22309.484787126512, -1809.9249542296818, 39171.17326349717, -18956.71537600611, -61452.48432902516, 101442.39533163264, -62049.47337364566, 14200.672395294016], 14, 3.0072730432039366e-05, 1.4899342318823011e-13

14, 18, 10, [528.0851170386055, -4696.027513038731, 15932.394694085157, -22309.48503596564, -1809.924959503043, 39171.17370093564, -18956.715617091224, -61452.48501671931, 101442.39652928176, -62049.47413040725, 14200.672573342652], 4, 3.005303692445374e-05, 1.4909130548821676e-13

