14, 18, 8, [1825.2728993627998, -21795.607393560393, 101192.91302444774, -203396.945442717, 16824.10796200266, 739704.3202716586, -1485394.7669773232, 1262521.144321756, -415871.75890732394], 4, 0.05793774858269967, 3.76272565393198e-12

14, 18, 8, [1825.2728962598592, -21795.60735582969, 101192.9128454109, -203396.94507263083, 16824.10791398169, 739704.3189295289, -1485394.7642046562, 1262521.141915551, -415871.75809978676], 8, 0.05793766127588271, 3.7641340362275344e-12

14, 18, 8, [1825.2728969299703, -21795.607364178853, 101192.9128860082, -203396.94515900564, 16824.107929203292, 739704.3192418881, -1485394.7648676962, 1262521.142501844, -415871.7582997213], 6, 0.05793576304687584, 3.763450849595727e-12

14, 18, 8, [1825.272895765679, -21795.607349837188, 101192.91281706441, -203396.94501428542, 16824.107906868107, 739704.3187178241, -1485394.7637695652, 1262521.141539572, -415871.75797414494], 4, 0.05789694163139993, 3.764111161957751e-12

14, 18, 8, [1825.272893953417, -21795.60732726014, 101192.91270719972, -203396.94478005095, 16824.107864384263, 739704.3178710791, -1485394.7619649163, 1262521.1399379005, -415871.7574257826], 4, 0.0579072237006379, 3.761647793391499e-12

14, 18, 8, [1825.272899838849, -21795.607398434073, 101192.91304297732, -203396.94546910058, 16824.10794532867, 739704.3203718473, -1485394.767092649, 1262521.1443633067, -415871.75890350586], 3, 0.05783741961671993, 3.760673778313636e-12

14, 18, 8, [1825.2728949494187, -21795.607340020517, 101192.91277097556, -203396.94492014204, 16824.10789632461, 739704.3183760655, -1485394.7630701764, 1262521.140936087, -415871.75777243706], 5, 0.05790854899863802, 3.764024029300839e-12

14, 18, 8, [1825.272904790927, -21795.60745849795, 101192.91332727637, -203396.9460550687, 16824.10801869552, 739704.3224974524, -1485394.771472612, 1262521.1481578767, -415871.7601752188], 3, 0.05792270342164984, 3.7600802437105706e-12

14, 18, 8, [1825.272898001733, -21795.607376846103, 101192.91294429632, -203396.94527481488, 16824.107936404627, 739704.3196636201, -1485394.7657035247, 1262521.1432047994, -415871.7585289032], 3, 0.05791090240720746, 3.762880694272706e-12

14, 18, 8, [1825.2728982868155, -21795.60738000973, 101192.91295780856, -203396.94529892495, 16824.10793319974, 739704.3197524546, -1485394.7658586644, 1262521.1433217332, -415871.75856290763], 3, 0.05791781565499009, 3.763087734224006e-12

