14, 18, 17, [-18.82905824334531, 167.06777885630729, -927.4494311991399, 3603.3229146877716, -10362.031909871252, 22654.408513241553, -37778.968391282, 46712.50569014532, -38627.934106656474, 12477.836887646134, 15782.396162625144, -24494.064588277877, 9307.257087669295, 11257.82370474654, -18210.336331400933, 11885.994165205204, -4000.9048673282464, 570.9061724221078], 5, 8.265139790731008e-07, 3.581361384379478e-17

14, 18, 17, [-18.829058246715295, 167.06777901119963, -927.4494343735663, 3603.3229531897805, -10362.032219049926, 22654.41025349174, -37778.97546676347, 46712.526714258696, -38627.97942863898, 12477.904973944957, 15782.33439767512, -24494.056426161646, 9307.325241471202, 11257.711783084947, -18210.239957516565, 11885.943979530286, -4000.889878909597, 570.9041869877711], 5, 9.74970605263623e-07, 3.7130000603173697e-17

14, 18, 17, [-18.829058244085648, 167.06777888612376, -927.4494317206439, 3603.3229198986396, -10362.031942663627, 22654.408646821455, -37778.968728095584, 46712.506080547115, -38627.93361892869, 12477.834028203042, 15782.401295960812, -24494.068159063707, 9307.254003489195, 11257.83366698071, -18210.347389653118, 11886.000951708927, -4000.9071575821354, 570.9065064418058], 3, 9.097768604635603e-07, 3.7302159161216627e-17

14, 18, 17, [-18.829058247120514, 167.06777903127093, -927.4494348244021, 3603.3229592536413, -10362.032273362463, 22654.410594930025, -37778.97701505587, 46712.5318321894, -38627.991679839826, 12477.925472885028, 15782.31313031481, -24494.050431814172, 9307.34586863599, 11257.672299233764, -18210.20293904643, 11885.923371279854, -4000.8833612215963, 570.9032786427141], 5, 7.718350392885666e-07, 3.5305718508398955e-17

14, 18, 17, [-18.829058247598162, 167.06777905859673, -927.4494354935217, 3603.322968651375, -10362.03235873266, 22654.41112930127, -37778.979401861594, 46712.53955946676, -38628.009750079305, 12477.954968175856, 15782.283414082838, -24494.042965386154, 9307.375472060261, 11257.617409229963, -18210.15223250172, 11885.895410847832, -4000.874574689939, 570.9020591012979], 4, 8.21507325998998e-07, 3.5681121738597453e-17

14, 18, 17, [-18.82905824961395, 167.06777914644346, -927.4494372039429, 3603.3229884283696, -10362.032510676341, 22654.41194988517, -37778.98260794928, 46712.548711952964, -38628.0286529393, 12477.981965110372, 15782.260751151634, -24494.042231826777, 9307.40253257198, 11257.577103555968, -18210.119907344837, 11885.879707040835, -4000.8702152247292, 570.9015255550029], 5, 8.095241917959194e-07, 3.529646611298394e-17

14, 18, 17, [-18.829058247592524, 167.06777906046796, -927.4494355646327, 3603.3229697972984, -10362.0323694823, 22654.411195209097, -37778.9796803256, 46712.54038669912, -38628.01146428512, 12477.95731575474, 15782.281706623631, -24494.0433542647, 9307.377910452515, 11257.614657667837, -18210.150676036832, 11885.895017623137, -4000.874586023861, 570.9020783265552], 5, 8.381724795892208e-07, 3.598946819655131e-17

14, 18, 17, [-18.82905824489528, 167.0677789303, -927.4494327658329, 3603.322934225469, -10362.032070567115, 22654.4094370695, -37778.972220525524, 46712.51727861836, -38627.95954880686, 12477.875874582727, 15782.359820156802, -24494.05860258586, 9307.296118021588, 11257.757482808274, -18210.278112617725, 11885.963292810877, -4000.89548700789, 570.904908883028], 3, 9.457823068983552e-07, 3.7243532984399436e-17

14, 18, 17, [-18.82905824492261, 167.06777892376383, -927.4494324782353, 3603.3229289385818, -10362.032014020751, 22654.409040384227, -37778.9702878676, 46712.51056511883, -38627.94287649331, 12477.847120943496, 15782.390610177255, -24494.068308170346, 9307.267203610907, 11257.814961957, -18210.333073781123, 11885.99437180217, -4000.9054537480897, 570.9063159347726], 5, 7.070703131956647e-07, 3.4389627278992786e-17

14, 18, 15, [-18.82944349482908, 167.0869644697955, -927.8769033673453, 3608.9761656688675, -10411.664748551735, 22960.76029599244, -39150.672383152036, 51234.471358845774, -49606.34983355741, 31734.979368406253, -7188.166784842762, -9588.527939970103, 12504.825553477247, -7292.590862360691, 2283.132634411718, -310.55358038107494], 5, 6.6018536171607245e-06, 1.3943054379321674e-16

