14, 16, 16, [4069.258343863486, -21424.99527294931, 34257.473810869786, -1069.8547780648178, -32446.385826041173, -9239.731349442247, 28814.830700585346, 28273.53521918389, -10818.680734683157, -39239.50324546245, -17670.109544863804, 32104.6571456896, 41483.937375397916, -19175.791998134362, -58090.53851241792, 53432.87173270078, -13261.97296787654], 5, 0.006891667338839733, 4.309143027288177e-13

14, 16, 16, [4069.2583292803643, -21424.995194107196, 34257.47368002706, -1069.8547685068093, -32446.38570013864, -9239.731320275496, 28814.830583030685, 28273.5351122467, -10818.680682875198, -39239.50308658105, -17670.109481765492, 32104.6570074405, 41483.93720906941, -19175.791909683805, -58090.53827223688, 53432.87150288202, -13261.972909451173], 5, 0.006885197422554294, 4.3077446845558443e-13

14, 16, 16, [4069.258335721262, -21424.99522900858, 34257.473738152665, -1069.854773015697, -32446.385756143765, -9239.731332901314, 28814.83063561681, 28273.535159637846, -10818.68070648136, -39239.50315760398, -17670.109509463677, 32104.65706976313, 41483.93728332784, -19175.791949953604, -58090.5383799754, 53432.8716066082, -13261.972935925336], 5, 0.006892869354200737, 4.310591015131126e-13

11, 16, 16, [4069.2583382171783, -21424.99524202268, 34257.47375864005, -1069.8547732280363, -32446.38577542894, -9239.731338967751, 28814.830652258326, 28273.535176737165, -10818.680711985478, -39239.50318035294, -17670.109520579048, 32104.657087479925, 41483.93730753795, -19175.791959820905, -58090.53841301551, 53432.87163589135, -13261.972943005645], 7, 0.006809532370510667, 4.2989955859405836e-13

14, 16, 16, [4069.2583059910908, -21424.995069242137, 34257.47347517915, -1069.8547562293024, -32446.385503951708, -9239.731271529101, 28814.83040267299, 28273.534944174113, -10818.680607093194, -39239.502842272894, -17670.10938056615, 32104.656798993383, 41483.93695250902, -19175.79177918879, -58090.537905529345, 53432.871156542154, -13261.97282210428], 6, 0.006790877459130015, 4.296860922152014e-13

14, 16, 16, [4069.25832537186, -21424.995174243886, 34257.47364992443, -1069.8547695297982, -32446.385672295128, -9239.73130988716, 28814.83056040617, 28273.535086898693, -10818.680677300881, -39239.50305534854, -17670.10946442536, 32104.656985139736, 41483.937175425235, -19175.791898767562, -58090.538228072204, 53432.871465927215, -13261.972900867788], 3, 0.006910289045591991, 4.310677903803236e-13

14, 16, 16, [4069.258331023491, -21424.995203675328, 34257.47369624827, -1069.8547700999272, -32446.385715876302, -9239.73132340246, 28814.830598165358, 28273.53512536789, -10818.680690156589, -39239.5031069547, -17670.10948914937, 32104.65702588373, 41483.937230263735, -19175.791922008462, -58090.53830352037, 53432.87153365624, -13261.972917410207], 6, 0.006757400084432445, 4.2916402756441576e-13

14, 16, 16, [4069.258333892504, -21424.99521958908, 34257.47372356742, -1069.8547731159613, -32446.385742524337, -9239.731328334015, 28814.83062411355, 28273.535147477163, -10818.680702966418, -39239.503141820845, -17670.109501467137, 32104.657057724842, 41483.93726647405, -19175.791943388434, -58090.53835714871, 53432.871586554895, -13261.97293109446], 4, 0.006911303145178744, 4.3108964803708353e-13

14, 16, 16, [4069.258328669207, -21424.99519121085, 34257.473676126596, -1069.8547692231705, -32446.385696745372, -9239.731318282245, 28814.83058089953, 28273.535108862223, -10818.680683256933, -39239.50308349633, -17670.109479074727, 32104.65700619026, 41483.937205557464, -19175.791909841875, -58090.53826843951, 53432.87150075643, -13261.972909135658], 5, 0.006886356636073836, 4.309149624129261e-13

14, 16, 16, [4069.258320024443, -21424.99514554491, 34257.47360276597, -1069.8547666017578, -32446.38562710455, -9239.731298796916, 28814.830518746734, 28273.535048260226, -10818.680659617028, -39239.50299893896, -17670.10944127691, 32104.65693678276, 41483.93711622874, -19175.791868307497, -58090.53814323097, 53432.8713854956, -13261.972880529962], 5, 0.006907843820482163, 4.3136625928179695e-13

