14, 17, 3, [-2.8260973630406956, 1.1832346052987375, 2.476984838251499, -1.8667204214695676], 7, 0.0004733748762741304, 4.299300241805328e-23

14, 17, 3, [-2.8260982832998103, 1.1832357611843642, 2.4769862900916704, -1.8667222450441898], 11, 0.0004743360841281152, 4.308034371806929e-23

14, 17, 3, [-2.8260970056397965, 1.1832341564318642, 2.4769842744283372, -1.8667197133529017], 7, 0.00047324539852923377, 4.2981240404595484e-23

14, 17, 3, [-2.826097575063684, 1.1832348715997418, 2.4769851727423084, -1.8667208415902312], 5, 0.0004743002619562561, 4.3077176368318643e-23

14, 17, 3, [-2.826096762002901, 1.183233850376626, 2.4769838900333236, -1.8667192304781322], 7, 0.0004747189015556918, 4.3115166146507525e-23

14, 17, 3, [-2.8260973809831675, 1.1832346278263448, 2.476984866552709, -1.8667204570030473], 2, 0.0004740732063004732, 4.305729579146283e-23

14, 17, 3, [-2.8260974707153976, 1.1832347405233223, 2.4769850081114457, -1.86672063479024], 7, 0.0004742915346529362, 4.307630726734448e-23

14, 17, 3, [-2.8260966499406206, 1.1832337096257586, 2.4769837132417387, -1.8667190084269025], 5, 0.0004718323247357418, 4.2852871904828086e-23

14, 17, 3, [-2.8260974665014458, 1.183234735263732, 2.476985001484261, -1.8667206265187655], 25, 0.0004746612908548078, 4.3109898201748135e-23

14, 17, 3, [-2.8260965772084248, 1.1832336182834557, 2.4769835985041713, -1.8667188643312373], 7, 0.000473332700379815, 4.2989165765091e-23

14, 17, 3, [-2.8260972962158823, 1.1832345213599933, 2.476984732823388, -1.8667202890411714], 20, 0.0004728461119205061, 4.294493249034905e-23

14, 17, 3, [-2.8260971308001754, 1.1832343136016055, 2.476984471863372, -1.8667199612812981], 15, 0.00047348038845757733, 4.300255971915768e-23

14, 17, 3, [-2.826096301894306, 1.1832332724222305, 2.476983164122498, -1.8667183186426526], 6, 0.0004737919642193462, 4.3030939854626385e-23

14, 17, 3, [-2.82609727795833, 1.1832344984414096, 2.4769847040280943, -1.8667202528946434], 3, 0.00047233884159447016, 4.2899133903225263e-23

14, 17, 3, [-2.826097227535533, 1.183234435077009, 2.47698462445936, -1.8667201529036601], 4, 0.0004743455064970942, 4.308129743705467e-23

14, 17, 3, [-2.826096142716378, 1.1832330725760225, 2.4769829130519905, -1.8667180034263033], 4, 0.00047364880314854936, 4.3018021514117053e-23

14, 17, 3, [-2.826096668023157, 1.1832337323061912, 2.476983741749409, -1.8667190441832717], 15, 0.00047332139755990136, 4.298811686384814e-23

14, 17, 3, [-2.826096936684219, 1.1832340697826296, 2.4769841656171927, -1.8667195766213658], 25, 0.0004737786332854082, 4.3029673648486165e-23

14, 17, 3, [-2.82609633591826, 1.18323331519081, 2.476983217820873, -1.8667183861422307], 7, 0.00047266037129659624, 4.292806277096531e-23

14, 17, 3, [-2.8260976815148884, 1.183235005299996, 2.476985340679823, -1.8667210525158668], 6, 0.00047329048419015245, 4.2985359518721864e-23

14, 17, 3, [-2.826097751898769, 1.1832350936970037, 2.476985451715284, -1.8667211919682842], 4, 0.00047314920485204024, 4.2972650186897e-23

14, 17, 3, [-2.8260980543304286, 1.1832354735828876, 2.476985928856043, -1.8667217913071157], 4, 0.0004752180721949578, 4.316061013030997e-23

14, 17, 3, [-2.8260967285297736, 1.1832338083235765, 2.4769838372188175, -1.86671916412608], 9, 0.0004736174835003484, 4.3015035900542325e-23

14, 17, 3, [-2.826097978264347, 1.1832353780669242, 2.476985808867487, -1.8667216406378424], 7, 0.00047286940446402965, 4.294706579374861e-23

14, 17, 3, [-2.8260962446864513, 1.1832332005843007, 2.476983073880012, -1.8667182053219658], 10, 0.0004736318761047458, 4.301636210832611e-23

14, 17, 3, [-2.8260967157816768, 1.183233792311653, 2.4769838171070293, -1.8667191388651663], 3, 0.00047274840518734813, 4.293634974761258e-23

14, 17, 3, [-2.8260977423787437, 1.1832350817299406, 2.4769854366901223, -1.8667211730810387], 5, 0.0004748051098410205, 4.3123049282547933e-23

14, 17, 3, [-2.8260977391496653, 1.1832350776941638, 2.4769854316084037, -1.866721166729871], 14, 0.00047450784015381706, 4.3095978710722476e-23

14, 17, 3, [-2.8260980079033127, 1.1832354152341136, 2.4769858555891022, -1.8667216992265505], 8, 0.0004732635927382482, 4.298288536630888e-23

14, 17, 3, [-2.8260964648007487, 1.183233477087317, 2.476983421160495, -1.8667186415685024], 4, 0.0004742012068805183, 4.306825019294081e-23

