13, 18, 14, [140.55853199237822, -754.7222271205363, 1091.393665532291, 395.10171845334804, -1281.883569417723, -1149.6177348515678, 974.2737334038036, 2395.369079322828, 589.9930887666648, -3095.2963509969613, -3290.2313903356503, 2980.177317769249, 6637.702123228955, -8131.6863015665285, 2497.9459637742334], 6, 0.00018046140754598807, 7.969392037419605e-16

13, 18, 14, [140.55853967679676, -754.7222679132616, 1091.3937251406148, 395.1017389723414, -1281.8836402612528, -1149.6177965502784, 974.2737892790099, 2395.3692114126297, 589.9931179538672, -3095.2965257709347, -3290.2315710504417, 2980.1774898240806, 6637.7024941467835, -8131.6867643212, 2497.946107421239], 7, 0.00017873527813005026, 7.949813411899986e-16

13, 18, 14, [140.55852401005112, -754.7221842837733, 1091.3936018586305, 395.1016978624999, -1281.8834928110423, -1149.6176703346162, 974.2736706368344, 2395.3689370205693, 589.9930614156603, -3095.2961577378505, -3290.231196730405, 2980.177122586805, 6637.701717661427, -8131.685784256157, 2497.9458010479134], 7, 0.0001800406889741476, 7.963377293925598e-16

13, 18, 14, [140.55853039825502, -754.7222183020482, 1091.3936518489045, 395.1017146856784, -1281.8835524808808, -1149.6177216262986, 974.2737184386721, 2395.3690480982605, 589.9930845924862, -3095.2963063961674, -3290.23134829248, 2980.177270773038, 6637.702031686476, -8131.686180332875, 2497.9459248613484], 4, 0.0001804029787949509, 7.969956531061655e-16

13, 18, 14, [140.55853054932263, -754.7222191681208, 1091.393653245428, 395.1017150271755, -1281.8835542456115, -1149.617722953498, 974.273720043284, 2395.3690513461056, 589.9930849826394, -3095.2963110772976, -3290.231352674158, 2980.177275667117, 6637.702041219451, -8131.686192842772, 2497.9459288333323], 6, 0.00017993541368019399, 7.9611571423270595e-16

13, 18, 14, [140.55852586717916, -754.7221937923653, 1091.393614987779, 395.1017032636128, -1281.883507775984, -1149.6176847714723, 974.273680973194, 2395.3689652398707, 589.9930700887232, -3095.296192153296, -3290.231235912455, 2980.177153832459, 6637.701793525205, -8131.685872964132, 2497.9458275386733], 5, 0.00018046798733883286, 7.968453098256799e-16

13, 18, 14, [140.5585218162864, -754.7221723701648, 1091.393583872702, 395.1016923240856, -1281.8834709570804, -1149.6176523281026, 974.273652334201, 2395.368896497621, 589.9930542017871, -3095.296102042675, -3290.231141678688, 2980.1770659621507, 6637.701601502257, -8131.6856353308885, 2497.9457541413044], 7, 0.000178578440080225, 7.941905630998782e-16

13, 18, 14, [140.55852816568395, -754.7222064237661, 1091.3936344186845, 395.10170878849755, -1281.8835316973777, -1149.6177037083814, 974.2737018452541, 2395.3690093956134, 589.9930764164599, -3095.2962547219104, -3290.2312954555664, 2980.1772193881993, 6637.701922419894, -8131.686042809431, 2497.94588192859], 4, 0.00018067605223693004, 7.973109131357706e-16

13, 18, 14, [140.55852899624384, -754.7222112422255, 1091.393642393192, 395.10171040945744, -1281.883541972165, -1149.6177108172828, 974.2737118979164, 2395.3690281176414, 589.9930772045636, -3095.2962835466146, -3290.231320214558, 2980.1772516711067, 6637.701979805828, -8131.686123328895, 2497.94590857869], 6, 0.00018034168008693925, 7.965688052927419e-16

13, 18, 14, [140.55853882972235, -754.7222632700804, 1091.3937180375378, 395.10173689030705, -1281.8836315543317, -1149.617789540951, 974.2737818140241, 2395.369195303847, 589.9931153748389, -3095.2965032837596, -3290.231549231838, 2980.1774666634665, 6637.70244756734, -8131.686703926701, 2497.946088285885], 8, 0.00017875143418994598, 7.949650949384219e-16

