14, 18, 4, [-10.011635011279886, 40.10118527076868, -80.3242609183601, 80.45676643071094, -32.23925119873256], 11, 5.38760619921685e-08, 6.033017957612911e-20

14, 18, 4, [-10.011635030201155, 40.10118541875899, -80.3242613522189, 80.45676699574962, -32.23925147455715], 10, 5.385609236532756e-08, 6.030685723612842e-20

14, 18, 4, [-10.01163525910468, 40.10118724295876, -80.32426680321653, 80.45677423426875, -32.23925507874656], 7, 5.3857416616687615e-08, 6.031119126446201e-20

14, 18, 4, [-10.011634719197904, 40.10118291733973, -80.3242538073278, 80.45675688110352, -32.23924638952718], 15, 5.386192404859806e-08, 6.031420687404731e-20

14, 18, 4, [-10.01163573806276, 40.101191088277005, -80.32427837927169, 80.45678972130224, -32.239262847809876], 15, 5.3848119279418046e-08, 6.029839880434169e-20

14, 18, 4, [-10.01163539070761, 40.10118829417199, -80.32426995177985, 80.45677842524861, -32.23925717051189], 20, 5.385890425032016e-08, 6.030958754194617e-20

14, 18, 4, [-10.011634752939493, 40.10118317224812, -80.32425452698057, 80.45675778056827, -32.23924680924726], 10, 5.3840913875418855e-08, 6.029228268419698e-20

14, 18, 4, [-10.011635205541179, 40.101186825552055, -80.32426558447679, 80.4567726541408, -32.239254311212164], 15, 5.3818751951413853e-08, 6.02656802206138e-20

14, 18, 4, [-10.011635445246498, 40.10118873262312, -80.32427127294464, 80.45678019373216, -32.23925805780699], 4, 5.386545769853786e-08, 6.031426833024317e-20

14, 18, 4, [-10.01163495246471, 40.10118481561248, -80.32425959945408, 80.45676473486928, -32.23925038246644], 9, 5.3778445072113467e-08, 6.022290454596894e-20

14, 18, 4, [-10.011636062461841, 40.10119369594082, -80.32428623950226, 80.45680025102985, -32.23926813726809], 7, 5.3791232666216436e-08, 6.023909415194715e-20

14, 18, 4, [-10.011634956948729, 40.10118482731061, -80.32425956143747, 80.456764585928, -32.23925025849159], 35, 5.387797883033757e-08, 6.033105787045559e-20

14, 18, 4, [-10.011635933206705, 40.10119266830417, -80.3242831759139, 80.45679619213972, -32.23926612083013], 40, 5.389058646327327e-08, 6.034540478370477e-20

14, 18, 4, [-10.011635733816167, 40.10119106518609, -80.32427834265005, 80.45678971600046, -32.23926286691108], 7, 5.384783582672489e-08, 6.029412147313168e-20

14, 18, 4, [-10.01163573353866, 40.10119104736727, -80.32427824261889, 80.45678952085095, -32.23926273862603], 15, 5.3838501332359125e-08, 6.028793562513316e-20

14, 18, 4, [-10.01163480163039, 40.10118355081102, -80.32425562898771, 80.45675920394864, -32.23924749742873], 6, 5.3855294013177016e-08, 6.03090428718097e-20

14, 18, 4, [-10.011635496737098, 40.10118915269961, -80.32427255800958, 80.45678194077074, -32.23925894838676], 6, 5.3806654728156964e-08, 6.025285091096743e-20

14, 18, 4, [-10.011635107252541, 40.10118604652331, -80.32426326928473, 80.45676959646525, -32.23925279701748], 40, 5.3890845622120735e-08, 6.034605661477025e-20

14, 18, 4, [-10.011635533199824, 40.1011894653369, -80.32427355929174, 80.45678336104152, -32.239259701493886], 10, 5.386697095266022e-08, 6.032047122059804e-20

14, 18, 4, [-10.01163567457996, 40.101190598035515, -80.32427696219531, 80.45678790444022, -32.23926197618397], 7, 5.379849502195805e-08, 6.024576628326149e-20

14, 18, 4, [-10.011635431546997, 40.10118862385476, -80.32427094971406, 80.45677976765666, -32.23925784762339], 40, 5.388632102528669e-08, 6.034050851044366e-20

14, 18, 4, [-10.01163464099948, 40.10118228301704, -80.3242518786172, 80.45675427581087, -32.239245070377805], 10, 5.384347453819711e-08, 6.029436101533032e-20

14, 18, 4, [-10.01163484579236, 40.10118393866136, -80.32425689721433, 80.45676103581408, -32.23924848446401], 5, 5.378815153041065e-08, 6.023767380726905e-20

14, 18, 4, [-10.011634875172488, 40.101184155530134, -80.32425749308715, 80.45676175706694, -32.23924880834667], 35, 5.38941228372633e-08, 6.03493799954315e-20

14, 18, 4, [-10.011635629402818, 40.1011902249587, -80.32427580743925, 80.45678631665982, -32.23926115786739], 15, 5.3875253926342914e-08, 6.032694255277867e-20

14, 18, 4, [-10.011635364455312, 40.101188106613066, -80.32426945681041, 80.4567778559881, -32.23925693143394], 4, 5.386076182152106e-08, 6.031618690212691e-20

14, 18, 4, [-10.011634810576709, 40.10118364881275, -80.32425600327413, 80.45675981134373, -32.23924785594558], 3, 5.3533154734175624e-08, 5.994817896711661e-20

14, 18, 4, [-10.011635064621478, 40.10118566656544, -80.32426201228049, 80.45676776379044, -32.23925180211897], 10, 5.3783222201926736e-08, 6.022525219686463e-20

14, 18, 4, [-10.011635661235422, 40.10119048827652, -80.32427662353275, 80.45678743987378, -32.239261737142186], 4, 5.383588402531029e-08, 6.028829245863766e-20

14, 18, 4, [-10.011635384081792, 40.10118826301229, -80.3242699238706, 80.45677847548286, -32.23925723935308], 10, 5.381216752899055e-08, 6.025759096682964e-20

