14, 18, 6, [-13.88679324739096, 82.8356208749898, -275.02621787663065, 548.7237383610675, -657.7124467193194, 438.4268180036544, -125.35713024304565], 20, 3.28218739402186e-08, 3.667502020574598e-20

14, 18, 6, [-13.88680122368135, 82.83571739551594, -275.02670443376053, 548.725046198494, -657.7144237049376, 438.42841153082145, -125.35766531449471], 15, 3.2855700261858115e-08, 3.671307183576327e-20

14, 18, 6, [-13.886809612671637, 82.83581984428199, -275.02722548564367, 548.726458876355, -657.7165770712255, 438.43016130682497, -125.35825745924149], 50, 3.2390486634625946e-08, 3.618944350562596e-20

14, 18, 6, [-13.886801266506307, 82.835717476107, -275.02670261353535, 548.7250352689592, -657.7143979828397, 438.4283833247463, -125.35765331617924], 35, 3.2758639020659216e-08, 3.6600982834604807e-20

14, 18, 6, [-13.88677946785686, 82.83545394075904, -275.0253755201541, 548.7214721685899, -657.7090184683549, 438.42405297018684, -125.35620133857276], 40, 3.2614441689361796e-08, 3.643892449681834e-20

14, 18, 6, [-13.886797235440222, 82.8356697253722, -275.0264671118813, 548.7244163045717, -657.7134836324557, 438.42766353706213, -125.3574174184256], 40, 3.262518538031852e-08, 3.6451813711824167e-20

14, 18, 6, [-13.886793597375135, 82.83562545046269, -275.02624265672824, 548.7238095775218, -657.7125613369667, 438.42691599903503, -125.35716502943781], 35, 3.2776264001217583e-08, 3.662118918309367e-20

14, 18, 6, [-13.886808974640688, 82.83581097641266, -275.02717499331806, 548.7263075812693, -657.7163248147906, 438.42993899528045, -125.35817644058069], 50, 3.258174212771942e-08, 3.64022681230068e-20

14, 18, 6, [-13.88679222435282, 82.83560901581437, -275.02616072720826, 548.7235918395932, -657.7122359711568, 438.4266567979255, -125.35707902403158], 20, 3.27338504427996e-08, 3.6568064649100384e-20

14, 18, 7, [-12.236254884965776, 59.47661316811781, -133.38597953398065, 71.71461506002329, 305.8908541637993, -729.193037823949, 660.4438539088525, -226.58302335066267], 25, 1.541413589753537e-08, 1.722757187122574e-20

14, 18, 6, [-13.886788595811637, 82.83556373049109, -275.02592546694996, 548.722940619026, -657.7112229191184, 438.4258170542355, -125.35678924068966], 50, 3.2817526774138414e-08, 3.666596642287337e-20

14, 18, 6, [-13.886803277448202, 82.83574187206176, -275.0268258491696, 548.7253670606551, -657.714900128774, 438.4287883729097, -125.35778936245687], 50, 3.274841244163841e-08, 3.658873324756858e-20

14, 18, 6, [-13.886807692369194, 82.8357957117407, -275.0270993445299, 548.7261078164202, -657.7160283677734, 438.42970460178896, -125.35809929935328], 50, 3.239019506155143e-08, 3.6187369665214106e-20

14, 18, 6, [-13.886794271065748, 82.8356329334886, -275.02627696214324, 548.7238924923266, -657.7126724530353, 438.42699396547795, -125.35718727047481], 20, 3.289410917845922e-08, 3.6750034207347764e-20

14, 18, 6, [-13.886789319448905, 82.83557277250151, -275.0259725464836, 548.7230713614955, -657.7114271524446, 438.4259872004693, -125.3568482986187], 50, 3.256086817159123e-08, 3.637945941766045e-20

14, 18, 6, [-13.886794330003497, 82.83563381695319, -275.02628227525196, 548.7239090851647, -657.7127010274213, 438.4270198073546, -125.35719688850179], 20, 3.282482540371218e-08, 3.6672323660927854e-20

14, 18, 6, [-13.886791303871838, 82.83559686552914, -275.02609436476365, 548.7233996844508, -657.7119246323001, 438.4263889964291, -125.35698343609593], 35, 3.2903007949819203e-08, 3.6761546456605346e-20

14, 18, 6, [-13.886807349709118, 82.8357910796632, -275.0270735250895, 548.7260317213999, -657.71590313673, 438.42959537122744, -125.3580598170553], 50, 3.230196986021205e-08, 3.609074012263715e-20

14, 18, 6, [-13.886783534171212, 82.83550310531552, -275.02562303267115, 548.7221362862183, -657.7100201239413, 438.424858149398, -125.35647083709193], 50, 3.2789491092269063e-08, 3.6635439181186796e-20

14, 18, 6, [-13.886793084524134, 82.835618552648, -275.026204384524, 548.7236972641723, -657.7123772495739, 438.42675605690056, -125.35710743560499], 30, 3.27997015547133e-08, 3.66464099694405e-20

14, 18, 6, [-13.88680525479228, 82.83576725291377, -275.0269611097741, 548.7257502652395, -657.7155090066834, 438.42930295084074, -125.35797011092788], 50, 3.261588723561637e-08, 3.64394445038756e-20

14, 18, 6, [-13.886797266892732, 82.83566978925238, -275.02646582180455, 548.7244084656021, -657.7134651227735, 438.4276432119551, -125.3574087676151], 25, 3.269979065941375e-08, 3.653242746160751e-20

14, 18, 6, [-13.886782575047452, 82.83549185567043, -275.0255682226195, 548.7219943337403, -657.709814067234, 438.42469925048465, -125.35642000237561], 50, 3.279558607622018e-08, 3.6640030186931766e-20

14, 18, 7, [-12.236259939119728, 59.476664045543124, -133.3861640763401, 71.71482351322346, 305.89125815114323, -729.1945154303538, 660.4455051680619, -226.58368646142233], 35, 1.5294822057740785e-08, 1.709465423052174e-20

14, 18, 6, [-13.886781986925593, 82.83548443857268, -275.02552933022423, 548.7218857830986, -657.7096439620591, 438.4245573292655, -125.3563707464994], 40, 3.2636850863944484e-08, 3.6463672003631814e-20

14, 18, 6, [-13.886781164792168, 82.83547511268743, -275.02548543005435, 548.7217760733625, -657.7094905492291, 438.42444361051287, -125.35633587335437], 40, 3.265374987543793e-08, 3.648058928844884e-20

14, 18, 6, [-13.88679935871083, 82.83569441429104, -275.0265864634036, 548.7247232943051, -657.7139266641578, 438.4280035901955, -125.35752584747794], 50, 3.248547089801125e-08, 3.6294721241810596e-20

14, 18, 6, [-13.88677624069264, 82.83541428898748, -275.0251726478619, 548.7209189294134, -657.7081703459821, 438.4233599635907, -125.35596553995528], 20, 3.26049896502529e-08, 3.6429646689887966e-20

14, 18, 6, [-13.886805466924406, 82.83576883922527, -275.0269641539665, 548.7257451199098, -657.7154810679167, 438.4292641783008, -125.35795163671094], 50, 3.2418509801041546e-08, 3.6219515872167455e-20

14, 18, 6, [-13.886793112071135, 82.8356187726764, -275.0262049465345, 548.7236973690603, -657.712375381326, 438.42675299632515, -125.35710591228347], 35, 3.286391152691974e-08, 3.6720087651645456e-20

