14, 18, 5, [-11.757783112298151, 57.70573143606599, -151.27514440890678, 223.3584169432518, -176.08586524878692, 57.89780671018002], 12, 1.4339622087335226e-08, 1.9395862057816656e-20

14, 18, 5, [-11.75778711723764, 57.70577168617244, -151.27530619170426, 223.3587420318735, -176.08619181796112, 57.897937912781835], 35, 1.436967405008367e-08, 1.9448899438605596e-20

14, 18, 5, [-11.75778501290538, 57.705750685428306, -151.27522236904605, 223.35857476647834, -176.08602495104537, 57.8978713325401], 9, 1.4330092696577257e-08, 1.935695835043065e-20

14, 18, 5, [-11.757784378203606, 57.70574413596283, -151.27519536592004, 223.358519159872, -176.08596775538106, 57.89784782361866], 10, 1.4349810188810045e-08, 1.9410999554251758e-20

14, 18, 5, [-11.757788960114137, 57.70579018373045, -151.27538044483367, 223.35889103903608, -176.08634130080992, 57.89799788598459], 15, 1.4264412045217784e-08, 1.930434059451265e-20

14, 18, 5, [-11.75778536003498, 57.70575409328627, -151.27523574627457, 223.3586010117633, -176.08605068652437, 57.89788142260665], 14, 1.434914950516805e-08, 1.942207580346778e-20

14, 18, 5, [-11.757785606291295, 57.705756446884735, -151.27524472154192, 223.35861807837063, -176.08606686440052, 57.89788753669403], 35, 1.4324287593738784e-08, 1.9388120741749446e-20

14, 18, 5, [-11.75778707040616, 57.70577101755519, -151.2753027144706, 223.3587334695898, -176.08618164639142, 57.897933200176894], 20, 1.4384128647323153e-08, 1.9463120130543357e-20

14, 18, 5, [-11.75778907327523, 57.70579131099296, -151.27538493255167, 223.35889996378924, -176.0863501667357, 57.89800140552311], 9, 1.4332051967535132e-08, 1.9426546605265384e-20

14, 18, 5, [-11.7577840483829, 57.705740875329234, -151.2751824784733, 223.3584937045511, -176.0859426288226, 57.897837908087254], 10, 1.4347746649631602e-08, 1.937307380142769e-20

14, 18, 5, [-11.757784296811238, 57.70574348301245, -151.27519340479873, 223.35851655159587, -176.08596647267862, 57.89784784499932], 14, 1.437257661276706e-08, 1.9435298840094187e-20

14, 18, 5, [-11.757787678432576, 57.705777134927374, -151.27532732443328, 223.35878295442, -176.08623137997466, 57.89795318661414], 13, 1.4351462550079128e-08, 1.9395146553387108e-20

14, 18, 5, [-11.75778752793309, 57.70577585293705, -151.2753230921717, 223.35877628742674, -176.0862265154092, 57.89795196322665], 13, 1.4348132468907536e-08, 1.93504127333054e-20

14, 18, 5, [-11.757787515253343, 57.705775520556195, -151.2753209383698, 223.35877032820375, -176.08621890233326, 57.89794825589253], 35, 1.43805823758423e-08, 1.9445586161254037e-20

14, 18, 5, [-11.757786382089003, 57.70576429925977, -151.27527650548186, 223.35868238855628, -176.08613191004733, 57.89791384629054], 10, 1.4283238326623643e-08, 1.9376137711311762e-20

14, 18, 5, [-11.757788307091085, 57.70578357236835, -151.27535367739495, 223.35883686540475, -176.08628649380748, 57.8979757120517], 15, 1.4345079715052733e-08, 1.940294590647642e-20

14, 18, 5, [-11.757784069546808, 57.705741024417954, -151.27518282738848, 223.3584939133164, -176.0859423546158, 57.89783760775873], 20, 1.4348701506653653e-08, 1.938840014752624e-20

14, 18, 5, [-11.757787321684, 57.70577365052353, -151.2753137238548, 223.35875643630186, -176.08620555339675, 57.89794313581034], 40, 1.438149147719819e-08, 1.944755042199995e-20

14, 18, 5, [-11.75778675810983, 57.705767951838006, -151.27529068040238, 223.35870985837005, -176.08615849111436, 57.89792411994767], 14, 1.4368757365101457e-08, 1.9421634550638448e-20

14, 18, 5, [-11.757788137426017, 57.70578176465075, -151.27534600128217, 223.35882062149977, -176.08626935778938, 57.89796850093162], 13, 1.4281147797978063e-08, 1.9320666102535337e-20

14, 18, 5, [-11.757787393851629, 57.70577434382811, -151.2753163809964, 223.3587615132357, -176.08621038779233, 57.897944970489846], 13, 1.4351952315008886e-08, 1.940310074354039e-20

14, 18, 5, [-11.757787073357648, 57.70577117637524, -151.27530386018913, 223.3587367675324, -176.08618593569116, 57.8979353060812], 10, 1.430449799314762e-08, 1.9351896634959053e-20

14, 18, 5, [-11.757788018004216, 57.70578078633734, -151.27534295270564, 223.3588162545742, -176.08626672072324, 57.897968137406735], 12, 1.4338579328868764e-08, 1.939966120252925e-20

14, 18, 5, [-11.757788486499763, 57.70578528716699, -151.27536021094846, 223.35884926458763, -176.08629820877957, 57.89798011799127], 14, 1.4356166275840114e-08, 1.9453733574563388e-20

14, 18, 5, [-11.757789312789907, 57.705793739773995, -151.2753947850238, 223.3589199486866, -176.0863704364668, 57.89800962914551], 13, 1.434430409074224e-08, 1.942923222590017e-20

14, 18, 5, [-11.757786496524417, 57.705765369934966, -151.27528049326403, 223.35868977433108, -176.08613870653144, 57.89791632954654], 10, 1.4323808171731044e-08, 1.9355844652837997e-20

14, 18, 5, [-11.757787172150604, 57.705772374309966, -151.2753095020469, 223.35874977082116, -176.08620067700357, 57.89794190483202], 30, 1.4328452603815534e-08, 1.9395518171355964e-20

14, 18, 5, [-11.757786616406824, 57.70576659302716, -151.27528548129362, 223.35869993862968, -176.08614905573796, 57.89792054176407], 20, 1.4319259348197835e-08, 1.9368294798842838e-20

14, 18, 5, [-11.757787401155404, 57.705774386649864, -151.27531643263276, 223.35876138003016, -176.08621002131207, 57.897944732014984], 11, 1.4339602807223453e-08, 1.938378431928499e-20

14, 18, 5, [-11.757786312169712, 57.70576375607886, -151.27527495980496, 223.35868055636132, -176.08613134113585, 57.89791412531053], 10, 1.4370258336510143e-08, 1.946155010080853e-20

